cluster,avg_adj_close,volatility,avg_daily_return,cumulative_return,avg_volume,volume_volatility,avg_intraday_range,beta_proxy,max_drawdown,symbol_count,Large-Cap,Mega-Cap,Micro-Cap,Mid-Cap,Nano-Cap,Small-Cap
0,205.37920795138888,14.387122585271849,0.0015185403180455709,0.1626113619850937,4621636.814427083,2249013.84844367,4.786934791666667,0.39697046989585993,-0.16421195910369904,120,28,33,13,25,2,19
1,42.678343178964305,3.2824022709448784,0.0025714791857204696,0.21548068286004693,3664073.864367939,1985125.1848324644,0.992313410045559,0.1525698302322268,-0.19458391788779622,127,21,13,26,23,23,21
2,4767.2358,355.7033290870294,0.002271,0.2332501289626998,226905.4,91165.94297070244,92.501,0.2636906251163611,-0.1285068505039299,1,1,0,0,0,0,0
3,91.44188333333334,17.837825082677707,0.003450166666666667,0.2748745067286586,91038866.00333333,47949711.342885904,4.1655500000000005,0.3294222935371341,-0.42669885629890847,6,0,3,0,2,1,0
4,11.944339706135077,2.2564986340067,-0.0038964031620553063,-0.31745501856708846,1486597.1176911842,1453360.1994077933,0.6284242739302286,0.21204294243519586,-0.5294518247703249,46,0,1,11,0,24,10
