symbol,avg_adj_close,avg_daily_return,avg_volume,volume_volatility,volatility,cumulative_return,avg_intraday_range,beta_proxy,max_drawdown,market_cap
AA,39.7775,0.001078999999999999,4792184.89,2122389.580426741,3.4430534296162087,0.06120058565153741,1.3444999999999998,0.31712021432032644,-0.28068325601012234,Mid-Cap
AAPL,234.4791,0.000790999999999997,47201929.07,18079838.538202643,9.515041478277057,0.08244457228835689,4.2280999999999995,0.24577708869358716,-0.140449872458839,Mega-Cap
AARD,13.3,-0.0706,182666.0,0.0,0.0,0.0,1.5199999999999996,0.0,0.0,Micro-Cap
ABBV,181.9787,0.0001519999999999999,5975828.81,2951849.121030234,9.918610469539805,0.012706747177737121,3.4764,0.010276879683615146,-0.19070020798256904,Mega-Cap
ABT,116.91629999999999,0.001468000000000003,5504044.97,2205955.239641926,5.85124413171156,0.14902788774522757,2.0139000000000005,0.1672692767565912,-0.06449983159312911,Mega-Cap
ACLS,79.96390000000001,-0.004675999999999999,632674.54,343626.1650049784,12.69714339105177,-0.4045250633898967,2.9421000000000004,0.5123616009632762,-0.4511800092549746,Small-Cap
ACN,360.68739999999997,0.0015520000000000009,2538308.56,937762.8950135038,13.161196072569028,0.15335453761778783,6.6821,0.2933099559634677,-0.087481347260712,Mega-Cap
AGI,19.7808,0.000893999999999998,2341912.5,869214.3583150713,1.241020824510485,0.06139933365064243,0.5154000000000001,0.17565159067892824,-0.17939110070257613,Mid-Cap
AGIO,42.9727,-0.002533999999999995,784964.6,537578.7829114402,9.067051780479641,-0.27403846153846156,2.2300000000000004,0.3348255050920706,-0.4837767683322518,Small-Cap
AGNC,9.5074,8.999999999996043e-06,18652583.36,7590462.663077294,0.35988387577162134,0.07194244604316546,0.15150000000000013,0.37802067952235424,-0.11011904761904756,Mid-Cap
ALB,94.809,-8.7999999999996e-05,2315076.8,871694.0542876059,8.730237191173057,-0.08081494057724958,3.6614999999999998,0.36574237798966647,-0.3221470455570591,Mid-Cap
ALDF,10.045384615384615,0.0005217948717948718,69243.52564102564,152344.44993566597,0.05726884213706795,0.0160160160160161,0.03346153846153838,-0.1913618776163973,-0.005940594059405946,Micro-Cap
ALK,57.3319,0.006662999999999997,2622035.16,1221518.5268456992,10.904183581812003,0.8167426241304869,1.6798999999999997,0.03859155618052883,-0.060384870603848784,Mid-Cap
ALLT,5.130700000000001,0.010487,563669.69,516513.83942049695,2.0117805847587165,1.4833333333333334,0.36769999999999997,0.22919920746980194,-0.1965442764578833,Micro-Cap
ALMS,9.1747,-0.006498000000000004,147570.4,167987.26658015096,2.0126591561384353,-0.56070826306914,0.7299000000000001,0.18174982865777475,-0.6286594761171032,Micro-Cap
ALTR,104.7885,0.001718999999999999,883193.11,851267.5233080778,5.787599662077967,0.17850308313842222,1.3622999999999998,0.2008342634934003,-0.06343182434264028,Mid-Cap
ALVR,13.7135,-0.0034880000000000006,20622.11,22952.16160938514,4.199460132450407,-0.4475446428571429,1.1862000000000001,0.19558902545377999,-0.6224709427464485,Nano-Cap
AMAT,181.7696,-0.0009170000000000017,6500540.22,2686505.2433558917,11.744584216746121,-0.12603305785123975,4.9956000000000005,0.44957745202914207,-0.24348641049671982,Large-Cap
AMD,137.1079,-0.002862999999999998,37582275.92,14319829.976980463,18.206276711812066,-0.2784688995215311,4.195699999999999,0.47144904576970476,-0.3775462962962963,Large-Cap
AMGN,289.7841,-0.001329999999999997,3153501.07,2140055.592563602,21.94321427496837,-0.11828477984374053,6.175000000000003,0.31354404083979637,-0.22327539216280057,Large-Cap
AMZN,211.37080000000003,0.001922000000000001,36680466.76,14522499.227012265,18.485292197754532,0.1794924695688056,4.292100000000001,0.41985210392739175,-0.07930873423633811,Mega-Cap
ANET,106.2148,0.0016509999999999928,7715656.12,4508393.671205224,8.550182168299761,0.10872497147006954,3.2794,0.4178138808040325,-0.22739177322446458,Large-Cap
ANGH,0.7669,-0.0011179999999999996,69448.5,349386.7733550376,0.054674334273796504,-0.1585365853658537,0.054299999999999994,0.09195404037485619,-0.2954545454545454,Nano-Cap
AOS,73.8036,-0.0021439999999999988,1170775.94,511386.70014225075,6.430489325836511,-0.2038951671074778,1.4363999999999992,0.2319317413308754,-0.27382146439317956,Mid-Cap
APP,278.5652,0.015827,5346596.67,3729752.0111116846,97.84573411139587,3.0447986045036473,16.765099999999997,0.27417570825163606,-0.22024906600249072,Large-Cap
AREC,0.9489,0.0018259999999999934,356107.81,317833.4624734986,0.19865148914975234,-0.06060606060606066,0.08500000000000002,0.2047801570636822,-0.5303030303030303,Nano-Cap
ARM,144.9987,0.002096999999999999,5701414.79,3497546.0466302475,10.761761210579575,0.12574089754445383,6.5014,0.47327100434473723,-0.2376714868372265,Large-Cap
ASML,727.4942,-0.0001959999999999928,1898291.46,1513688.5839850598,52.002442661743075,-0.058856677728382656,17.836000000000002,0.2826262624681412,-0.243421887436699,Mega-Cap
ASTH,44.369499999999995,-0.003236000000000001,308383.6,153535.9239603671,10.224501407912461,-0.31685078029107483,1.7331999999999999,0.24237985770449252,-0.528621682123441,Small-Cap
ASTS,24.1085,0.0036689999999999995,10263756.84,6085135.950846888,2.541416679211367,0.2063134160090192,2.0233999999999996,0.37879043338918267,-0.37802737802737807,Mid-Cap
ATR,161.9573,-0.0006470000000000061,307881.49,162755.77730014888,8.197198937084622,-0.06647324306898772,2.6428999999999987,0.385097649843649,-0.19328209507543415,Mid-Cap
ATRA,10.3456,0.004838999999999999,174329.9,251743.74004540904,2.5439062939352217,0.16711956521739113,1.0953,0.19999272699057596,-0.663888888888889,Nano-Cap
ATYR,3.1430000000000002,0.007375999999999999,926425.0,741656.3404142832,0.624253089052765,0.9265536723163843,0.22680000000000003,0.3396109136667702,-0.1733668341708543,Micro-Cap
AVGO,197.05470000000003,0.0038480000000000025,27515477.0,20345550.203068547,29.236141893868016,0.3509565217391304,6.833599999999999,0.329729616305537,-0.18943738220315198,Mega-Cap
AVR,6.045853658536585,0.009292682926829261,138114.0243902439,159208.0750672666,0.6757513433569928,0.45272727272727287,0.2958536585365853,-0.13846416098207295,-0.06666666666666676,Micro-Cap
AXP,292.8698,0.0015673502136303113,2494691.64,1049995.9200845556,17.395466144482466,0.1692793504003609,5.373200000000001,0.5848431430531366,-0.0644991582491582,Mega-Cap
